Country,Continent,emission_capita,average
Puerto Rico,North America,0.064213366,223.692645
Burundi,Africa,1.012999885,223.692645
Chad,Africa,1.470251022,223.692645
Niger,Africa,1.77515941,223.692645
Somalia,Africa,1.869005679,223.692645
Central African Republic,Africa,1.889888485,223.692645
Rwanda,Africa,2.082098265,223.692645
Ethiopia,Africa,2.095733298,223.692645
Uganda,Africa,2.234833999,223.692645
Malawi,Africa,2.484714499,223.692645
Russia,Asia,794.6746351,223.692645
Brunei,Asia,802.613779,223.692645
Canada,North America,873.1590422,223.692645
Trinidad and Tobago,North America,1025.157423,223.692645
Belgium,Europe,1076.116824,223.692645
Germany,Europe,1111.140573,223.692645
United Kingdom,Europe,1157.789624,223.692645
Luxembourg,Europe,1163.815826,223.692645
Estonia,Europe,1229.349981,223.692645
United States of America,North America,1232.670715,223.692645
