Country,Year,CO2 emission (Tons),emission_capita
Australia,1950,1340046995,51.19096356
Australia,1951,1399076371,53.44593719
Australia,1952,1459277722,55.74568129
Australia,1953,1518712345,58.0161357
Australia,1954,1586550907,60.60762792
Australia,1955,1657225078,63.30744287
Australia,1956,1730254607,66.09723455
Australia,1957,1804770977,68.94382485
Australia,1958,1882379228,71.90852771
Australia,1959,1966087385,75.10625229
Australia,1960,2054206285,78.4724711
Australia,1961,2144710181,81.92979883
Australia,1962,2239533636,85.55213749
Australia,1963,2340467900,89.40791437
Australia,1964,2449343667,93.5670636
Australia,1965,2570196336,98.18374092
Australia,1966,2690415638,102.7762231
Australia,1967,2819559850,107.7096446
Australia,1968,2954056750,112.8475434
Australia,1969,3096180552,118.2767966
Australia,1970,3243660321,123.9106523
Australia,1971,3396290407,129.7412547
Australia,1972,3553627110,135.7516539
Australia,1973,3724456354,142.27748
Australia,1974,3896648185,148.8553581
Australia,1975,4072365055,155.5678957
Australia,1976,4246443316,162.217837
Australia,1977,4434052310,169.3846642
Australia,1978,4635877178,177.0945501
Australia,1979,4840752293,184.9209581
Australia,1980,5061289622,193.3456764
Australia,1981,5291430024,202.1372404
Australia,1982,5525326762,211.0722997
Australia,1983,5750119161,219.6595653
Australia,1984,5986489334,228.689112
Australia,1985,6227487680,237.895459
Australia,1986,6467221032,247.053482
Australia,1987,6723082968,256.8276311
Australia,1988,6983975284,266.793945
Australia,1989,7261476279,277.3947249
Australia,1990,7540841121,288.0667055
Australia,1991,7822712669,298.8344444
Australia,1992,8109044822,309.7725823
Australia,1993,8400369500,320.901439
Australia,1994,8700453761,332.3649194
Australia,1995,9008476348,344.1316507
Australia,1996,9324808571,356.2158175
Australia,1997,9651918125,368.7116876
Australia,1998,9990615204,381.6502113
Australia,1999,10337214071,394.8905903
Australia,2000,10689033670,408.3304057
Australia,2001,11049488324,422.1000877
Australia,2002,11416601222,436.1241205
Australia,2003,11789834269,450.3819483
Australia,2004,12176600542,465.1567572
Australia,2005,12564202134,479.9634759
Australia,2006,12961496845,495.1404803
Australia,2007,13363422384,510.4943863
Australia,2008,13773075431,526.1434898
Australia,2009,14174396760,541.4743145
Australia,2010,14578929980,556.9278362
Australia,2011,14984273863,572.412326
Australia,2012,15386939707,587.7945123
Australia,2013,15780110326,602.8139727
Australia,2014,16179364072,618.0658139
Australia,2015,16582643483,633.471439
Australia,2016,16998588655,649.3609072
Australia,2017,17413339852,665.2047646
Australia,2018,17829341009,681.0963715
Australia,2019,18243857842,696.9312759
Australia,2020,18635749770,711.9018892
Malaysia,1950,69079194,2.035439453
Malaysia,1951,74299561,2.189259154
Malaysia,1952,80670447,2.376979247
Malaysia,1953,87169346,2.568471282
Malaysia,1954,94173510,2.774851104
Malaysia,1955,101603236,2.993770239
Malaysia,1956,109165765,3.216602455
Malaysia,1957,112679096,3.320123821
Malaysia,1958,116511195,3.433037784
Malaysia,1959,119694439,3.526833036
Malaysia,1960,123895889,3.650630037
Malaysia,1961,128580808,3.7886726
Malaysia,1962,133357357,3.929415069
Malaysia,1963,139185325,4.101137918
Malaysia,1964,146584734,4.319163753
Malaysia,1965,154964963,4.566089749
Malaysia,1966,164799356,4.855863128
Malaysia,1967,174926958,5.154276001
Malaysia,1968,185457184,5.464552311
Malaysia,1969,194594942,5.733799129
Malaysia,1970,209180831,6.163576783
Malaysia,1971,225843425,6.654545181
Malaysia,1972,243744050,7.181992539
Malaysia,1973,261249177,7.697786428
Malaysia,1974,280293856,8.258943685
Malaysia,1975,299739014,8.831901177
Malaysia,1976,323636657,9.536052494
Malaysia,1977,346257497,10.20258242
Malaysia,1978,369517941,10.88795848
Malaysia,1979,396823878,11.69253621
Malaysia,1980,424856475,12.5185252
Malaysia,1981,455734136,13.42834487
Malaysia,1982,486376076,14.33121895
Malaysia,1983,524424383,15.45232389
Malaysia,1984,559218816,16.47755243
Malaysia,1985,595548587,17.54802018
Malaysia,1986,635650472,18.72963441
Malaysia,1987,676528156,19.9341078
Malaysia,1988,719397360,21.19726193
Malaysia,1989,769481230,22.67299839
Malaysia,1990,823750594,24.2720617
Malaysia,1991,889535728,26.21044067
Malaysia,1992,962496744,28.36025919
Malaysia,1993,1049215381,30.91545019
Malaysia,1994,1139846369,33.58591981
Malaysia,1995,1253780033,36.94300986
Malaysia,1996,1367221975,40.28561117
Malaysia,1997,1489306561,43.88287061
Malaysia,1998,1603544061,47.24891328
Malaysia,1999,1711835501,50.43975349
Malaysia,2000,1838038550,54.15836469
Malaysia,2001,1972026715,58.10636671
Malaysia,2002,2107144923,62.08766579
Malaysia,2003,2263666255,66.69961443
Malaysia,2004,2434768259,71.74118699
Malaysia,2005,2616101059,77.08421308
Malaysia,2006,2794886367,82.35217653
Malaysia,2007,2977341730,87.72827928
Malaysia,2008,3179326911,93.67983404
Malaysia,2009,3380039855,99.59390196
Malaysia,2010,3595975009,105.9564969
Malaysia,2011,3812968536,112.3502772
Malaysia,2012,4028181570,118.6915946
Malaysia,2013,4270669008,125.8365607
Malaysia,2014,4515501575,133.0506268
Malaysia,2015,4747345515,139.8819789
Malaysia,2016,4997906157,147.2648244
Malaysia,2017,5248467477,154.6476899
Malaysia,2018,5520696830,162.6690106
Malaysia,2019,5799356085,170.8797902
Malaysia,2020,6071963519,178.9122511
