Country,Continent,emission_capita,group_id,average,result
Libya,Africa,313.5912311,1,223.692645,1
South Africa,Africa,353.3632604,2,223.692645,1
Algeria,Africa,102.1559506,3,223.692645,0
Angola,Africa,19.17054638,4,223.692645,0
Benin,Africa,8.362634188,5,223.692645,0
Botswana,Africa,57.18050744,6,223.692645,0
Burkina Faso,Africa,2.83681076,7,223.692645,0
Burundi,Africa,1.012999885,8,223.692645,0
Cameroon,Africa,7.705365405,9,223.692645,0
Cape Verde,Africa,22.39994673,10,223.692645,0
Central African Republic,Africa,1.889888485,11,223.692645,0
Chad,Africa,1.470251022,12,223.692645,0
Comoros,Africa,6.336054897,13,223.692645,0
Djibouti,Africa,16.8708024,14,223.692645,0
Egypt,Africa,56.89244463,15,223.692645,0
Equatorial Guinea,Africa,107.155559,16,223.692645,0
Eritrea,Africa,4.858524573,17,223.692645,0
Eswatini,Africa,33.8610517,18,223.692645,0
Ethiopia,Africa,2.095733298,19,223.692645,0
Gabon,Africa,108.1657712,20,223.692645,0
Gambia,Africa,5.161188947,21,223.692645,0
Ghana,Africa,11.09212752,22,223.692645,0
Guinea,Africa,6.222163016,23,223.692645,0
Kenya,Africa,8.644255358,24,223.692645,0
Lesotho,Africa,27.74809537,25,223.692645,0
Liberia,Africa,9.903870137,26,223.692645,0
Madagascar,Africa,3.267964799,27,223.692645,0
Malawi,Africa,2.484714499,28,223.692645,0
Mali,Africa,2.802519387,29,223.692645,0
Mauritania,Africa,15.96925196,30,223.692645,0
Mauritius,Africa,89.07985262,31,223.692645,0
Mayotte,Africa,19.9860166,32,223.692645,0
Morocco,Africa,46.38786276,33,223.692645,0
Mozambique,Africa,5.371392023,34,223.692645,0
Namibia,Africa,29.62171038,35,223.692645,0
Niger,Africa,1.77515941,36,223.692645,0
Nigeria,Africa,17.91419846,37,223.692645,0
Reunion,Africa,127.1673453,38,223.692645,0
Rwanda,Africa,2.082098265,39,223.692645,0
Sao Tome and Principe,Africa,14.78025772,40,223.692645,0
Senegal,Africa,14.05014879,41,223.692645,0
Seychelles,Africa,124.9046472,42,223.692645,0
Sierra Leone,Africa,4.194447575,43,223.692645,0
Somalia,Africa,1.869005679,44,223.692645,0
South Sudan,Africa,3.51430291,45,223.692645,0
Sudan,Africa,9.518120862,46,223.692645,0
United Republic of Tanzania,Africa,3.722898946,47,223.692645,0
